iteration= 0, p= 0, output=  6.68, desired output=  0.12, delta=  0.00, error= -6.560, total error= 43.028
iteration= 0, p= 1, output=  3.77, desired output=  0.33, delta=  0.00, error= -3.436, total error= 54.835
iteration= 0, p= 2, output=  1.61, desired output=  0.42, delta=  0.00, error= -1.182, total error= 56.231
iteration= 0, p= 3, output=  0.55, desired output=  0.58, delta=  0.00, error=  0.030, total error= 56.232
iteration= 0, p= 4, output=  0.65, desired output=  0.68, delta=  0.00, error=  0.035, total error= 56.233
iteration= 0, p= 5, output=  0.73, desired output=  0.79, delta=  0.00, error=  0.058, total error= 56.237
iteration= 0, p= 6, output=  0.88, desired output=  0.85, delta=  0.00, error= -0.032, total error= 56.238
iteration= 0, p= 7, output=  0.82, desired output=  0.94, delta=  0.00, error=  0.120, total error= 56.252
iteration= 0, p= 8, output=  0.62, desired output=  0.09, delta=  0.00, error= -0.532, total error= 56.535
iteration= 0, p= 9, output=  0.32, desired output=  0.32, delta=  0.00, error=  0.005, total error= 56.535
iteration= 0, p= 10, output=  0.44, desired output=  0.43, delta=  0.00, error= -0.011, total error= 56.535
iteration= 0, p= 11, output=  0.44, desired output=  0.56, delta=  0.00, error=  0.118, total error= 56.549
iteration= 0, p= 12, output=  0.63, desired output=  0.67, delta=  0.00, error=  0.036, total error= 56.551
iteration= 0, p= 13, output=  0.72, desired output=  0.78, delta=  0.00, error=  0.063, total error= 56.555
iteration= 0, p= 14, output=  0.88, desired output=  0.82, delta=  0.00, error= -0.057, total error= 56.558
iteration= 0, p= 15, output=  0.75, desired output=  1.00, delta=  0.00, error=  0.246, total error= 56.618
iteration= 0, p= 16, output=  0.70, desired output=  0.13, delta=  0.00, error= -0.576, total error= 56.950
iteration= 0, p= 17, output=  0.45, desired output=  0.30, delta=  0.00, error= -0.152, total error= 56.973
iteration= 0, p= 18, output=  0.42, desired output=  0.46, delta=  0.00, error=  0.038, total error= 56.974
iteration= 0, p= 19, output=  0.52, desired output=  0.61, delta=  0.00, error=  0.092, total error= 56.983
iteration= 0, p= 20, output=  0.69, desired output=  0.72, delta=  0.00, error=  0.024, total error= 56.983
iteration= 0, p= 21, output=  0.76, desired output=  0.82, delta=  0.00, error=  0.061, total error= 56.987
iteration= 0, p= 22, output=  0.92, desired output=  0.88, delta=  0.00, error= -0.036, total error= 56.988
iteration= 0, p= 23, output=  0.85, desired output=  0.97, delta=  0.00, error=  0.124, total error= 57.004
iteration= 999, p= 0, output=  0.07, desired output=  0.12, delta=  0.00, error=  0.048, total error=  0.002
iteration= 999, p= 1, output=  0.23, desired output=  0.33, delta=  0.00, error=  0.105, total error=  0.013
iteration= 999, p= 2, output=  0.52, desired output=  0.42, delta=  0.00, error= -0.091, total error=  0.022
iteration= 999, p= 3, output=  0.56, desired output=  0.58, delta=  0.00, error=  0.013, total error=  0.022
iteration= 999, p= 4, output=  0.75, desired output=  0.68, delta=  0.00, error= -0.064, total error=  0.026
iteration= 999, p= 5, output=  0.79, desired output=  0.79, delta=  0.00, error=  0.004, total error=  0.026
iteration= 999, p= 6, output=  0.93, desired output=  0.85, delta=  0.00, error= -0.080, total error=  0.032
iteration= 999, p= 7, output=  0.86, desired output=  0.94, delta=  0.00, error=  0.084, total error=  0.039
iteration= 999, p= 8, output=  0.08, desired output=  0.09, delta=  0.00, error=  0.012, total error=  0.040
iteration= 999, p= 9, output=  0.18, desired output=  0.32, delta=  0.00, error=  0.140, total error=  0.059
iteration= 999, p= 10, output=  0.51, desired output=  0.43, delta=  0.00, error= -0.081, total error=  0.066
iteration= 999, p= 11, output=  0.57, desired output=  0.56, delta=  0.00, error= -0.012, total error=  0.066
iteration= 999, p= 12, output=  0.71, desired output=  0.67, delta=  0.00, error= -0.047, total error=  0.068
iteration= 999, p= 13, output=  0.78, desired output=  0.78, delta=  0.00, error=  0.003, total error=  0.068
iteration= 999, p= 14, output=  0.92, desired output=  0.82, delta=  0.00, error= -0.098, total error=  0.078
iteration= 999, p= 15, output=  0.80, desired output=  1.00, delta=  0.00, error=  0.200, total error=  0.117
iteration= 999, p= 16, output=  0.16, desired output=  0.13, delta=  0.00, error= -0.034, total error=  0.119
iteration= 999, p= 17, output=  0.31, desired output=  0.30, delta=  0.00, error= -0.003, total error=  0.119
iteration= 999, p= 18, output=  0.50, desired output=  0.46, delta=  0.00, error= -0.036, total error=  0.120
iteration= 999, p= 19, output=  0.64, desired output=  0.61, delta=  0.00, error= -0.029, total error=  0.121
iteration= 999, p= 20, output=  0.77, desired output=  0.72, delta=  0.00, error= -0.058, total error=  0.124
iteration= 999, p= 21, output=  0.82, desired output=  0.82, delta=  0.00, error= -0.000, total error=  0.124
iteration= 999, p= 22, output=  0.96, desired output=  0.88, delta=  0.00, error= -0.078, total error=  0.130
iteration= 999, p= 23, output=  0.89, desired output=  0.97, delta=  0.00, error=  0.080, total error=  0.137
