Keyword set |     around  artifici    attain    author   autonom       car      come    driven      feel      home      hour     human  intellig  inventor   kitchen      know      larg     learn      live    machin      mile     owner       per       pet      road      room      size     updat      util      went      work
Sentence  1 |          0         0         0         0         1         1         0         0         0         0         1         0         0         0         0         0         0         0         0         0         1         0         1         0         1         0         0         0         0         1         0
Sentence  2 |          0         1         0         1         0         0         0         0         0         0         0         1         2         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0         0         0         0
Sentence  3 |          0         0         1         0         0         1         0         0         0         0         2         0         0         0         0         0         0         0         0         0         2         0         2         0         0         0         0         0         0         0         0
Sentence  4 |          0         0         0         0         0         0         0         0         0         1         0         0         0         0         2         0         1         0         1         0         0         0         0         0         0         3         1         0         1         0         0
Sentence  5 |          1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0         1         0         0         0         0         0         0
Sentence  6 |          0         0         0         0         0         0         0         0         0         0         0         2         2         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0
Sentence  7 |          0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         0         1         0         0         0         0         0         0         2         0         0         0         0         0
Sentence  8 |          0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0         0         0         0         0         0         1         0
Sentence  9 |          1         0         0         0         1         1         0         0         0         0         2         0         0         0         0         0         0         0         0         0         2         0         2         0         0         0         0         0         0         0         0
Sentence 10 |          0         1         0         0         0         0         0         0         0         0         0         0         3         0         0         0         0         1         0         2         0         0         0         0         0         0         0         0         0         0         0
Sentence 11 |          0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         2         0         0         0         0         3         0         0
Sentence 12 |          0         0         0         0         0         0         1         0         0         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0
Sentence 13 |          0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         1         0         0         0         0         0         0         0
Sentence 14 |          0         0         0         0         1         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         1         0         0         0         0         0         0
Sentence 15 |          0         1         0         0         0         0         2         0         2         0         0         0         1         0         0         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
Sentence 16 |          0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         3         3         0         0         0         0
Sentence 17 |          0         0         0         0         1         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0         0         0         0         0         0         0         0
Sentence 18 |          0         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0
Sentence 19 |          0         1         0         0         0         0         0         0         0         0         0         0         1         2         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
Sentence 20 |          0         0         0         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         1
Sentence 21 |          0         0         0         0         0         1         0         1         0         0         0         0         0         0         0         0         0         0         0         0         2         0         1         0         0         0         0         0         0         0         0
Sentence 22 |          0         1         1         0         0         0         0         0         2         0         0         0         1         0         0         1         0         1         0         1         0         0         0         0         0         0         0         0         0         0         1
Sentence 23 |          0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0         1         1         1         0         0         0         0         0
Sentence 24 |          0         0         0         2         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0
Sentence 25 |          0         0         0         0         0         0         0         0         0         1         0         0         0         0         2         0         0         0         1         0         0         0         0         0         0         0         0         1         0         0         0
Sentence 26 |          2         0         0         0         0         1         0         0         0         0         1         0         0         0         0         0         0         0         0         0         2         0         1         0         1         0         0         0         0         1         0
Sentence 27 |          1         1         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         2         0         2         0         0         0         0         0         0         0         0         0         0         1
Sentence 28 |          0         0         0         0         0         0         0         0         0         0         0         0         0         0         2         0         0         0         1         0         0         0         0         0         0         3         0         0         3         0         0
